name,value,year,last value,rank
The Walking Dead,731645,0,731645,0
Avengers: Endgame,560852,0,560852,1
Game of Thrones,159653,0,159653,2
"The Comedian + Nightmare at 30,000 Feet",92170,0,92170,3
Gotham,88016,0,88016,4
The Storm,81356,0,81356,5
Borderlands 3,57024,0,57024,6
Batman vs. Teenage Mutant Ninja Turtles,54252,0,54252,7
Captain Marvel,47103,0,47103,8
Frozen 2,35456,0,35456,9
The Walking Dead,731645,1,731645,0
Avengers: Endgame,560852,1,560852,1
Game of Thrones,159653,1,159653,2
"The Comedian + Nightmare at 30,000 Feet",92170,1,92170,3
Gotham,88016,1,88016,4
The Storm,81356,1,81356,5
Borderlands 3,57024,1,57024,6
Batman vs. Teenage Mutant Ninja Turtles,54252,1,54252,7
Captain Marvel,47103,1,47103,8
Frozen 2,35456,1,35456,9
Avengers: Endgame,520182,2,560852,0
The Walking Dead,327070,2,731645,1
Darkborn,219757,2,#N/A,2
Game of Thrones,121815,2,159653,3
Joker,116687,2,#N/A,4
Borderlands,101968,2,#N/A,5
Gotham,95778,2,88016,6
Game of Thrones: Season 8,51456,2,#N/A,7
The Umbrella Academy,47465,2,#N/A,8
Cyberpunk 2077,45471,2,#N/A,9
Avengers: Endgame,696292,3,520182,0
Borderlands 3,277526,3,#N/A,1
Game of Thrones,130557,3,121815,2
Joker,118728,3,116687,3
Ultraman,84341,3,#N/A,4
Wonder Woman 1984,78078,3,#N/A,5
Darkborn,74363,3,219757,6
Hearthstone: Heroes of WarCraft,61084,3,#N/A,7
Stephen King's IT Chapter Two,46228,3,#N/A,8
Gotham,43959,3,95778,9
Terminator: Dark Fate,1112314,4,#N/A,0
Avengers: Endgame,278343,4,696292,1
Game of Thrones,242389,4,130557,2
Hearthstone: Heroes of WarCraft,105641,4,61084,3
Wonder Woman 1984,78113,4,78078,4
Battlefield V,67767,4,#N/A,5
Sonic the Hedgehog: The Movie,63597,4,#N/A,6
Cowboy Bebop [live-action],61794,4,#N/A,7
The Lion King,60499,4,#N/A,8
Shazam!,54101,4,54101,9
Terminator: Dark Fate,179525,5,1112314,0
Game of Thrones,159661,5,242389,1
Shazam!,153924,5,54101,2
Avengers: Endgame,133965,5,278343,3
Unicorn Store,99039,5,#N/A,4
Borderlands 3,89249,5,#N/A,5
Stranger Things,87118,5,#N/A,6
Dragon Ball Z,86946,5,#N/A,7
The Witcher,75409,5,#N/A,8
Our Planet,66017,5,66017,9
Game of Thrones,154125,6,159661,0
Shazam!,100855,6,153924,1
The Witcher,82295,6,75409,2
Avengers: Endgame,77656,6,133965,3
Unicorn Store,56320,6,99039,4
Terminator: Dark Fate,55398,6,179525,5
Sekiro: Shadows Die Twice,51509,6,#N/A,6
Borderlands 3,45667,6,89249,7
Dragon Ball Z,32128,6,86946,8
Captain Marvel,28257,6,#N/A,9
Game of Thrones,374286,7,154125,0
Avengers: Endgame,229670,7,77656,1
Shazam!,220789,7,100855,2
Game of Thrones: Season 8,82090,7,#N/A,3
WrestleMania 35,79806,7,#N/A,4
The Walking Dead,41393,7,#N/A,5
Terminator: Dark Fate,34596,7,55398,6
The Witcher,29110,7,82295,7
Sekiro: Shadows Die Twice,24506,7,51509,8
Captain Marvel,16949,7,28257,9
Avengers: Endgame,448262,8,229670,0
The Walking Dead,142306,8,41393,1
Game of Thrones,139161,8,374286,2
Tom Clancy,97592,8,#N/A,3
Dangerous Driving,94444,8,#N/A,4
Shazam!,93540,8,220789,5
